MYBI_STOPID,MYBI_NAME,STOP_ID,STOP_X,STOP_Y,STOP_X2,STOP_Y2
3101578,삼주기업앞,195026337,233148.27516,231129.66532,129.3657,35.57661667
3101579,울산종합운동장앞,192030604,231673.95552,229378.64951,129.3493667,35.56088333
3101580,울산종합운동장앞,192030603,231754.13537,229351.19597,129.35025,35.56063333
3101581,에쓰오일건설정문,196015831,231399.75952,217078.66433,129.3458667,35.45003333
3101582,온산하수종말처리장,196015883,231900.84836,212751.51201,129.3512167,35.41101667
3101583,㈜티시티,196015885,231116.75442,212726.57117,129.3425833,35.41081667
3101584,온산우체국앞,196031604,228063.00288,215249.86701,129.30905,35.43365
3101585,경영정보고등학교앞,196077703,228001.21141,215650.94418,129.3083833,35.43726667
3101586,장수나무,196022307,227827.97227,214907.03932,129.30645,35.43056667
3101588,무궁화아파트,196022311,228273.93842,214588.52634,129.31135,35.42768333
